"연령계층별","교육정도별",2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"50 - 59세","고졸",2.4,2.7,2.7,2.3,2.6,2.8,3.2,2.6,1.8,1.8
"50 - 59세","대졸이상",1.6,1.7,1.8,1.8,2.2,1.9,2.0,2.1,1.3,1.5
"50 - 59세","전문대졸",2.3,1.7,1.9,2.7,2.9,2.3,1.9,2.5,1.7,1.7
"50 - 59세","대학교졸이상",1.5,1.7,1.8,1.6,2.1,1.8,2.0,2.0,1.1,1.4
"60세이상","계",2.3,2.5,2.7,2.9,3.1,3.4,3.6,3.8,2.8,2.6
"60세이상","초졸이하",2.0,2.3,2.2,2.6,3.0,3.3,3.7,4.0,3.3,3.0
"60세이상","중졸",2.2,2.0,2.6,2.7,3.0,3.6,3.8,3.6,2.7,2.7
"60세이상","고졸",2.4,2.8,3.0,3.2,3.2,3.5,3.7,3.7,2.6,2.3
"60세이상","대졸이상",3.0,3.8,3.4,3.1,3.4,3.2,2.7,3.7,2.5,2.3
"60세이상","전문대졸",2.3,3.3,4.0,2.0,4.7,4.1,4.0,3.9,3.5,3.1
"60세이상","대학교졸이상",3.2,3.9,3.3,3.4,3.1,3.0,2.4,3.7,2.3,2.1
"15 - 24세","계",10.0,10.5,10.7,10.3,10.5,10.4,10.5,8.5,7.1,5.8
"15 - 24세","초졸이하",3.0,5.7,8.3,2.4,13.0,4.8,7.7,25.0,12.8,0.0
"15 - 24세","중졸",7.7,8.3,8.2,7.6,12.3,10.5,11.0,10.1,6.5,9.3
"15 - 24세","고졸",9.8,10.5,10.5,9.5,9.5,9.1,9.8,7.7,6.4,5.1
"15 - 24세","대졸이상",10.7,10.9,11.4,12.2,12.5,13.2,12.2,10.3,8.5,7.0
"15 - 24세","전문대졸",9.5,10.3,9.4,10.8,10.9,11.7,10.7,10.5,6.3,5.9
"15 - 24세","대학교졸이상",13.0,12.0,14.1,14.2,14.5,15.3,13.9,9.8,11.3,8.2
